marker_ID,EC,Fib,Kera_diff,Kera_undiff,Macro,Mela,Tcell
CD52,0.0,0.0,0.0,0.0,0.0,0.0,2.72203688169643
IL32,0.0,0.0,0.0,0.0,0.0,0.0,2.776346712382111
CD3D,0.0,0.0,0.0,0.0,0.0,0.0,1.8544104341897223
ARHGDIB,0.0,0.0,0.0,0.0,0.7630140936936396,0.0,2.192969251766081
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,1.9214569913418558
CD69,0.0,0.0,0.0,0.0,0.0,0.0,1.7599797232086738
PTPRCAP,0.0,0.0,0.0,0.0,0.0,0.0,1.734546155580242
CREM,1.1834186486677047,0.0,0.0,0.0,1.7537320805536898,0.0,2.53199227505772
TMEM66,0.0,0.0,0.0,0.0,0.0,0.6979566374994319,2.1171311234394596
DUSP2,0.0,0.0,0.0,0.0,1.4471484372185668,0.0,1.8535021048935292
HCST,0.0,0.0,0.0,0.0,1.2239750164374574,0.0,1.784298603980319
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,1.6834394093259961
LTB,0.0,0.0,0.0,0.0,0.0,0.0,1.5518592422315889
SAMSN1,0.0,0.0,0.0,0.0,0.0,0.0,1.6439099346242754
FXYD5,0.9351158271481457,0.0,0.0,0.0,1.0580848107014234,0.6979566374994319,2.0515127661548256
ALOX5AP,0.0,0.0,0.0,0.0,0.0,0.0,1.6425638403401475
STK17B,0.0,0.0,0.0,0.0,0.0,0.0,1.668607981167714
RGCC,0.0,0.0,0.0,0.0,0.0,0.0,1.888836614050878
LEPROTL1,0.0,0.0,0.0,0.0,0.0,0.0,1.5613101794111106
CORO1A,0.0,0.0,0.0,0.0,0.0,0.0,1.47096956626873
STK4,0.0,0.0,0.0,0.0,1.2612204903283777,0.0,1.6243225101615404
LAPTM5,0.0,0.0,0.0,0.0,0.936080308200144,0.0,1.562203266051524
CD37,0.0,0.0,0.0,0.0,0.0,0.0,1.4421958843413532
CYTIP,0.0,0.0,0.0,0.0,0.9174391685903653,0.0,1.3311820256628648
CDC42SE2,0.0,0.0,0.0,0.0,0.0,0.0,1.4067374834318334
EML4,0.0,0.0,0.0,0.0,0.0,0.0,1.2242273834969348
TSC22D3,0.0,0.0,0.0,0.0,0.0,0.7033124362110975,1.667909680889434
SLC2A3,1.6467793123948802,0.0,0.0,0.0,1.2770329041465671,0.0,1.7000594688291029
PLP2,0.0,0.0,1.3236472584669183,1.2786670103648943,0.0,1.055604512316835,1.533360201976762
SRSF7,0.0,0.0,0.6627015403733968,0.8692165460948499,0.0,0.6783335434171732,1.3778787463806048
CRIP1,0.0,0.0,0.4399362980789415,0.6194878953446443,1.2662279676225308,0.0,1.3924760619208634
DCT,0.0,0.0,0.0,0.0,0.0,3.723689796429802,0.0
TYRP1,0.0,0.0,0.0,0.0,0.0,2.9458137127320834,0.0
MLANA,0.0,0.0,0.0,0.0,0.0,2.621705558443658,0.0
PMEL,0.0,0.0,0.0,0.0,0.0,2.070351163095404,0.0
MITF,0.0,0.0,0.0,0.0,0.0,1.7126061130488726,0.0
PLP1,0.0,0.0,0.0,0.0,0.0,1.6018018587851925,0.0
CAPN3,0.0,0.0,0.0,0.0,0.0,1.5626502676238747,0.0
GPM6B,0.0,0.0,0.0,0.0,0.0,1.4984248206508157,0.0
QPCT,0.0,0.0,0.0,0.0,0.0,1.628260470404315,0.0
C4orf48,0.0,0.0,0.0,0.0,0.0,1.3158098469410733,0.0
SNCA,0.0,0.0,0.0,0.0,0.0,1.2775926360630334,0.0
NSG1,0.0,0.0,0.0,0.0,0.0,1.2655880571295717,0.0
CYB561A3,0.0,0.0,0.0,0.0,0.0,0.7119510325708227,0.0
GPR155,0.0,0.0,0.0,0.0,0.0,1.0194944229027,0.0
KIT,0.0,0.0,0.0,0.0,0.0,0.75236829337406,0.0
PCSK2,0.0,0.0,0.0,0.0,0.0,0.4571881995077567,0.0
CRYAB,0.0,0.0,0.0,0.0,0.0,1.3768073887105272,0.0
ASAH1,0.0,0.0,0.0,0.0,0.0,0.9529587952686573,0.0
CHCHD6,0.0,0.0,0.0,0.0,0.0,0.4232201437107545,0.0
TYR,0.0,0.0,0.0,0.0,0.0,0.23070757493881675,0.0
MARCKSL1,0.0,0.0,0.0,0.0,0.0,1.1245353598629524,0.0
CDC42EP3,0.0,0.0,0.0,0.0,0.0,0.6453455270182032,0.0
RAB32,0.0,0.0,0.0,0.0,0.0,0.6868325430972902,0.0
COMT,0.0,0.0,0.0,0.0,0.0,1.0292980976260988,0.0
PRELP,0.0,0.0,0.0,0.0,0.0,0.47276884961279747,0.0
VAMP5,0.0,0.0,0.0,0.0,0.0,1.0788116025522259,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,1.228952839949715,0.0
IRS2,0.0,0.0,0.0,0.0,0.0,0.8694042641533902,0.0
HMG20B,0.0,0.0,0.0,0.0,0.0,0.6806844315485844,0.0
TFAP2A,0.0,0.0,0.0,0.0,0.0,0.4374138321410039,0.0
IFI27L2,0.0,0.0,0.0,0.0,0.0,0.9480262583422397,0.0
GYPC,0.0,0.0,0.0,0.0,0.0,0.7684108213965489,0.0
OSTM1,0.0,0.0,0.0,0.0,0.0,0.15592568784972077,0.0
PAG1,0.0,0.0,0.0,0.0,0.0,0.15592568784972077,0.0
RAB38,0.0,0.0,0.0,0.0,0.0,0.22722206182150623,0.0
